Order ID,Product name,Order quantity,Price,Order date,Purchase Address
174087,Screen Protector,1,15.49,04/02/21 18:56,"587 2nd St, Vancouver, BC R0K–R6W"
174088,Lightning Charging Cable,1,23.99,04/23/21 17:08,"350 Main St, St. Johns, NL A0C–A2B"
174089,Asus ROG Phone 5,1,1459.0,04/13/21 18:50,"747 South St, Toronto, ON L7J–L0H"
174090,Laptop holder,1,67.34,04/29/21 13:04,"86 12th St, Moncton, NB T9S–T7S"
174091,Samsung Galaxy S22,1,829.99,04/06/21 06:36,"894 Johnson St, Montreal, QC J0Y–H7M "
174092,USB-C Charging Cable,1,17.99,04/17/21 00:51,"970 6th St, Toronto, ON L7J–L0H"
174093,Xiaomi PowerBank 10000 mAh,1,159.0,04/09/21 23:59,"93 10th St, Calgary, AB B3K–B5A"
174094,Samsung Galaxy Tab 8,1,679.99,04/14/21 08:06,"722 Denman St, Vancouver, BC R0K–R6W"
174095,Laptop holder,1,67.34,04/07/21 19:51,"665 5th St, Vancouver, BC R0K–R6W"
174096,Xiaomi PowerBank 20000 mAh,1,249.99,04/05/21 15:18,"960 Warden Avenue St, St. Johns, NL A0C–A2B"
174097,LG Washing Machine P301,1,849.0,04/24/21 17:34,"29 Lansdale St, Halifax, NS  B1Y–B5A"
174098,Laptop holder,1,67.34,04/11/21 07:50,"972 Dogwood St, Halifax, NS  B1Y–B5A"
174099,Samsung Galaxy Tab 8,1,679.99,04/18/21 08:36,"37 Jackson St, Saskatoon, SK C1B-C1N"
174100,Screen Protector,1,15.49,04/27/21 17:24,"76 Albion St, Charlottetown, PE S2V–S0A"
174101,Lightning Charging Cable,1,23.99,04/15/21 13:20,"330 Marine  St, St. Johns, NL A0C–A2B"
174102,Screen Protector,1,15.49,04/29/21 22:41,"937 Hickory St, Calgary, AB B3K–B5A"
174103,SQuality M8 Headphones,1,149.99,04/24/21 17:22,"547 Hickory St, Calgary, AB B3K–B5A"
174104,Delve Sound Pro Wireless Headphones,1,79.99,04/14/21 17:39,"94 Dogwood St, St. Johns, NL A0C–A2B"
174105,Xiaomi PowerBank 10000 mAh,1,159.0,04/27/21 23:14,"926 Meadow St, Toronto, ON L7J–L0H"
174106,27in Curve Monitor,1,889.99,04/19/21 16:48,"832 Drive St, Halifax, NS  B1Y–B5A"
174107,USB-C Charging Cable,1,17.99,04/26/21 20:14,"902 Hickory St, Vancouver, BC R0K–R6W"
174108,Delve Sound Pro Wireless Headphones,1,79.99,04/15/21 22:48,"289 Center St, Toronto, ON L7J–L0H"
174109,USB-C Charging Cable,1,17.99,04/05/21 18:41,"340 5th St, Calgary, AB B3K–B5A"
174110,27in Curve Monitor,1,889.99,04/05/21 17:55,"341 Jefferson St, Toronto, ON L7J–L0H"
174111,USB-C Charging Cable,2,17.99,04/21/21 06:06,"480 Jefferson St, Saskatoon, SK C1B-C1N"
174112,Asus ROG Phone 5,1,1459.0,04/29/21 10:21,"423 Park St, Toronto, ON L7J–L0H"
174112,Screen Protector,1,15.49,04/29/21 10:21,"423 Park St, Toronto, ON L7J–L0H"
174113,Laptop holder,1,67.34,04/16/21 00:52,"175 Johnson St, Montreal, QC J0Y–H7M "
174114,Samsung Galaxy S22,1,829.99,04/05/21 23:11,"795 11th St, Toronto, ON L7J–L0H"
174115,Lightning Charging Cable,1,23.99,04/21/21 11:14,"120 Jackson St, Halifax, NS  B1Y–B5A"
174116,Laptop holder,1,67.34,04/26/21 09:09,"386 Lansdale St, Toronto, ON L7J–L0H"
174117,Google Pixel Phone 7,1,799.0,04/23/21 21:39,"662 4th St, Calgary, AB B3K–B5A"
174118,Samsung Galaxy Tab 8,1,679.99,04/11/21 18:19,"104 Pine St, Vancouver, BC R0K–R6W"
174119,Screen Protector,1,15.49,04/30/21 08:42,"546 14th St, St. Johns, NL A0C–A2B"
174120,SQuality M8 Headphones,1,149.99,04/14/21 11:55,"399 Georgia Avenue St, Calgary, AB B3K–B5A"
174121,Apple Airpods Pro 2 gen,1,249.99,04/28/21 16:55,"788 8th St, Calgary, AB B3K–B5A"
174122,SQuality M8 Headphones,1,149.99,04/26/21 18:20,"131 Jackson St, Toronto, ON L7J–L0H"
174123,USB-C Charging Cable,1,17.99,04/11/21 09:29,"95 North St, Montreal, QC J0Y–H7M "
174124,52in Wide Monitor,1,1899.99,04/22/21 10:38,"375 Georgia Avenue St, Calgary, AB B3K–B5A"
174125,Laptop holder,1,67.34,04/08/21 08:52,"987 Adams St, Toronto, ON L7J–L0H"
174126,Xiaomi PowerBank 10000 mAh,1,159.0,04/01/21 14:05,"551 Main St, Moncton, NB T9S–T7S"
174127,Laptop holder,1,67.34,04/18/21 10:12,"640 Lansdale St, Toronto, ON L7J–L0H"
