Order ID,Product name,Order quantity,Price,Order date,Purchase Address
231628,SQuality M8 Headphones,1,149.99,08/11/21 20:35,"160 Lakeview St, Calgary, AB B3K–B5A"
231629,23in Curve Monitor,1,156.99,08/09/21 14:43,"787 1st St, Halifax, NS  B1Y–B5A"
231630,USB-C Charging Cable,1,17.99,08/25/21 04:46,"410 Ridge St, Charlottetown, PE S2V–S0A"
231631,23in Curve Monitor,1,156.99,08/10/21 14:30,"272 Marine  St, Toronto, ON L7J–L0H"
231632,Lightning Charging Cable,1,23.99,08/04/21 00:05,"389 Ridge St, Toronto, ON L7J–L0H"
231632,Apple Airpods Pro 2 gen,1,249.99,08/04/21 00:05,"389 Ridge St, Toronto, ON L7J–L0H"
231633,Lightning Charging Cable,1,23.99,08/19/21 19:51,"288 Jefferson St, Winnipeg, MB V3G–V4V"
231634,Screen Protector,1,15.49,08/14/21 19:05,"783 Madison St, Toronto, ON L7J–L0H"
231635,Screen Protector,1,15.49,08/25/21 12:31,"27 Ridge St, Toronto, ON L7J–L0H"
231636,USB-C Charging Cable,1,17.99,08/04/21 18:35,"917 14th St, Calgary, AB B3K–B5A"
231637,Apple Airpods Pro 2 gen,1,249.99,08/07/21 09:05,"929 Pylon St, Charlottetown, PE S2V–S0A"
231638,SQuality M8 Headphones,1,149.99,08/30/21 23:00,"217 Canlish St, Toronto, ON L7J–L0H"
231639,Google ChromeBook A15,1,869.99,08/07/21 20:36,"107 South St, Vancouver, BC R0K–R6W"
231640,USB-C Charging Cable,1,17.99,08/19/21 18:57,"747 4th St, Halifax, NS  B1Y–B5A"
231641,Lightning Charging Cable,1,23.99,08/12/21 16:05,"359 Ridge St, Halifax, NS  B1Y–B5A"
231642,Lightning Charging Cable,1,23.99,08/02/21 12:16,"830 Lakeview St, Moncton, NB T9S–T7S"
231643,Laptop holder,1,67.34,08/23/21 22:39,"742 Jackson St, Moncton, NB T9S–T7S"
231644,Apple iPhone 13 Pro Max,1,1549.0,08/26/21 13:17,"388 13th St, Toronto, ON L7J–L0H"
231645,Screen Protector,1,15.49,08/26/21 10:46,"802 South St, Halifax, NS  B1Y–B5A"
231646,USB-C Charging Cable,1,17.99,08/20/21 17:07,"511 Whitecap St, Toronto, ON L7J–L0H"
231647,Xiaomi PowerBank 10000 mAh,1,159.0,08/25/21 11:55,"364 Railside St, Toronto, ON L7J–L0H"
231648,LG Dishwasher XRA9,1,1599.0,08/17/21 08:43,"71 North St, Charlottetown, PE S2V–S0A"
231649,Samsung Galaxy S22,1,829.99,08/11/21 12:37,"511 Madison St, Montreal, QC J0Y–H7M "
231650,Lenovo Tab Pro A11,1,455.0,08/19/21 20:20,"739 Canlish St, Toronto, ON L7J–L0H"
231651,52in Wide Monitor,1,1899.99,08/24/21 23:23,"487 Robson St, St. Johns, NL A0C–A2B"
231652,Lenovo Tab Pro A11,1,455.0,08/16/21 20:56,"660 2nd St, Vancouver, BC R0K–R6W"
231653,USB-C Charging Cable,1,17.99,08/09/21 13:56,"355 Madison St, Charlottetown, PE S2V–S0A"
231654,27in Curve Monitor,1,889.99,08/16/21 08:56,"671 Cherry St, Halifax, NS  B1Y–B5A"
231655,Screen Protector,1,15.49,08/28/21 18:56,"491 Maple St, Winnipeg, MB V3G–V4V"
231656,Samsung Galaxy S22,1,829.99,08/10/21 19:41,"542 Radnor St, Calgary, AB B3K–B5A"
231657,23in Curve Monitor,1,156.99,08/17/21 22:00,"688 Denman St, Calgary, AB B3K–B5A"
231658,Samsung Galaxy Tab 8,1,679.99,08/06/21 17:12,"126 4th St, Charlottetown, PE S2V–S0A"
231659,Lightning Charging Cable,1,23.99,08/20/21 22:25,"607 5th St, Montreal, QC J0Y–H7M "
231660,SQuality M8 Headphones,1,149.99,08/19/21 23:04,"280 14th St, Toronto, ON L7J–L0H"
231661,SQuality M8 Headphones,1,149.99,08/03/21 12:05,"511 9th St, Montreal, QC J0Y–H7M "
231662,Screen Protector,1,15.49,08/25/21 12:14,"965 Warden Avenue St, Toronto, ON L7J–L0H"
231663,Apple Airpods Pro 2 gen,1,249.99,08/31/21 20:41,"746 Lansdale St, Montreal, QC J0Y–H7M "
231664,Apple Airpods Pro 2 gen,1,249.99,08/07/21 07:15,"460 5th St, Moncton, NB T9S–T7S"
231665,Screen Protector,1,15.49,08/22/21 09:59,"305 1st St, Saskatoon, SK C1B-C1N"
231666,Laptop holder,1,67.34,08/24/21 16:30,"369 Ridge St, Charlottetown, PE S2V–S0A"
