Order ID,Product name,Order quantity,Price,Order date,Purchase Address
276533,Laptop holder,1,67.34,12/26/21 12:05,"347 Marine  St, St. Johns, NL A0C–A2B"
276534,Delve Sound Pro Wireless Headphones,1,79.99,12/18/21 09:02,"760 Hickory St, Vancouver, BC R0K–R6W"
276535,Apple Airpods Pro 2 gen,1,249.99,12/29/21 22:08,"295 1st St, Halifax, NS  B1Y–B5A"
276536,Laptop holder,1,67.34,12/12/21 09:58,"306 4th St, Toronto, ON L7J–L0H"
276537,Apple iPhone 13 Pro Max,1,1549.0,12/30/21 20:57,"184 Maple St, Toronto, ON L7J–L0H"
276538,Xiaomi PowerBank 10000 mAh,1,159.0,12/16/21 20:34,"788 Jefferson St, Montreal, QC J0Y–H7M "
276538,Laptop holder,1,67.34,12/16/21 20:34,"788 Jefferson St, Montreal, QC J0Y–H7M "
276539,SQuality M8 Headphones,1,149.99,12/23/21 20:13,"14 8th St, Montreal, QC J0Y–H7M "
276540,SQuality M8 Headphones,1,149.99,12/04/21 00:47,"511 4th St, Halifax, NS  B1Y–B5A"
276541,Lightning Charging Cable,1,23.99,12/06/21 00:13,"591 11th St, Calgary, AB B3K–B5A"
276542,USB-C Charging Cable,1,17.99,12/27/21 08:13,"409 4th St, Moncton, NB T9S–T7S"
276543,Apple Airpods Pro 2 gen,1,249.99,12/29/21 11:46,"403 8th St, Charlottetown, PE S2V–S0A"
276544,Lightning Charging Cable,1,23.99,12/27/21 22:30,"279 Albion St, Halifax, NS  B1Y–B5A"
276545,Screen Protector,2,15.49,12/22/21 20:43,"500 Railside St, Vancouver, BC R0K–R6W"
276546,Xiaomi PowerBank 10000 mAh,1,159.0,12/25/21 09:43,"892 1st St, Toronto, ON L7J–L0H"
276547,Google Pixel Phone 7,1,799.0,12/28/21 11:25,"743 Adams St, Winnipeg, MB V3G–V4V"
276547,SQuality M8 Headphones,1,149.99,12/28/21 11:25,"743 Adams St, Winnipeg, MB V3G–V4V"
276548,Lenovo Tab Pro A11,1,455.0,12/30/21 19:04,"695 Warden Avenue St, Toronto, ON L7J–L0H"
276549,Asus ROG Phone 5,1,1459.0,12/16/21 17:26,"131 Rexdale St, St. Johns, NL A0C–A2B"
276549,USB-C Charging Cable,1,17.99,12/16/21 17:26,"131 Rexdale St, St. Johns, NL A0C–A2B"
276550,Samsung Galaxy S22,1,829.99,12/14/21 20:16,"49 Canlish St, Halifax, NS  B1Y–B5A"
276550,Screen Protector,1,15.49,12/14/21 20:16,"49 Canlish St, Halifax, NS  B1Y–B5A"
276551,Asus ROG Phone 5,1,1459.0,12/05/21 20:50,"349 Ridge St, Montreal, QC J0Y–H7M "
276551,Screen Protector,1,15.49,12/05/21 20:50,"349 Ridge St, Montreal, QC J0Y–H7M "
276552,Screen Protector,2,15.49,12/04/21 16:40,"192 Robson St, Toronto, ON L7J–L0H"
276553,Lenovo Tab Pro A11,1,455.0,12/22/21 21:55,"865 Park St, Montreal, QC J0Y–H7M "
276554,Lightning Charging Cable,1,23.99,12/30/21 14:58,"110 Marine  St, Montreal, QC J0Y–H7M "
276555,Google Pixel Phone 7,1,799.0,12/31/21 08:36,"957 12th St, Toronto, ON L7J–L0H"
276555,USB-C Charging Cable,1,17.99,12/31/21 08:36,"957 12th St, Toronto, ON L7J–L0H"
276555,Delve Sound Pro Wireless Headphones,1,79.99,12/31/21 08:36,"957 12th St, Toronto, ON L7J–L0H"
276556,Asus VivoBook X478 laptop,1,1120.0,12/13/21 14:05,"193 Meadow St, Montreal, QC J0Y–H7M "
276557,52in Wide Monitor,1,1899.99,12/23/21 18:14,"352 Madison St, Toronto, ON L7J–L0H"
276558,USB-C Charging Cable,1,17.99,12/29/21 12:06,"945 4th St, Halifax, NS  B1Y–B5A"
276559,ThinkPad IdeaPad 3 laptop,1,649.99,12/01/21 22:34,"33 Lansdale St, Montreal, QC J0Y–H7M "
276560,Google ChromeBook A15,1,869.99,12/06/21 13:36,"105 Cherry St, Toronto, ON L7J–L0H"
276561,Lightning Charging Cable,1,23.99,12/21/21 20:04,"631 Jefferson St, Charlottetown, PE S2V–S0A"
276562,Laptop holder,1,67.34,12/31/21 15:46,"179 11th St, Calgary, AB B3K–B5A"
276563,Apple Airpods Pro 2 gen,1,249.99,12/23/21 08:11,"453 Main St, Calgary, AB B3K–B5A"
276564,SQuality M8 Headphones,1,149.99,12/23/21 13:24,"23 Ridge St, Halifax, NS  B1Y–B5A"
276565,Xiaomi PowerBank 10000 mAh,1,159.0,12/09/21 12:15,"364 Rexdale St, Charlottetown, PE S2V–S0A"
276566,Apple Airpods Pro 2 gen,1,249.99,12/01/21 22:12,"960 10th St, Calgary, AB B3K–B5A"
276567,Asus Zenfone 8,1,449.99,12/31/21 16:29,"504 Maple St, Halifax, NS  B1Y–B5A"
276568,Laptop holder,1,67.34,12/25/21 20:10,"105 14th St, Vancouver, BC R0K–R6W"
276569,USB-C Charging Cable,1,17.99,12/03/21 20:26,"336 Denman St, Calgary, AB B3K–B5A"
276570,27in Curve Monitor,1,889.99,12/14/21 08:49,"576 Rockwood St, Halifax, NS  B1Y–B5A"
276571,Apple Airpods Pro 2 gen,1,249.99,12/13/21 16:52,"370 Georgia Avenue St, Toronto, ON L7J–L0H"
276572,Xiaomi PowerBank 10000 mAh,1,159.0,12/29/21 03:33,"638 9th St, Calgary, AB B3K–B5A"
276573,Lightning Charging Cable,1,23.99,12/12/21 07:58,"135 Lansdale St, Montreal, QC J0Y–H7M "
276574,Lightning Charging Cable,1,23.99,12/02/21 17:29,"530 Main St, Toronto, ON L7J–L0H"
276575,Screen Protector,2,15.49,12/22/21 20:23,"741 Lakeview St, Toronto, ON L7J–L0H"
276576,Delve Sound Pro Wireless Headphones,1,79.99,12/08/21 14:02,"616 Highland St, Calgary, AB B3K–B5A"
276577,Samsung Galaxy S22,1,829.99,12/22/21 22:44,"53 13th St, Toronto, ON L7J–L0H"
276577,USB-C Charging Cable,1,17.99,12/22/21 22:44,"53 13th St, Toronto, ON L7J–L0H"
276577,Delve Sound Pro Wireless Headphones,1,79.99,12/22/21 22:44,"53 13th St, Toronto, ON L7J–L0H"
276577,SQuality M8 Headphones,1,149.99,12/22/21 22:44,"53 13th St, Toronto, ON L7J–L0H"
276578,Asus Zenfone 8,1,449.99,12/16/21 20:19,"829 Center St, Montreal, QC J0Y–H7M "
276579,Xiaomi PowerBank 10000 mAh,1,159.0,12/27/21 22:24,"256 14th St, Halifax, NS  B1Y–B5A"
276580,Asus ROG Phone 5,1,1459.0,12/18/21 08:43,"243 Meadow St, Toronto, ON L7J–L0H"
276581,Xiaomi PowerBank 10000 mAh,1,159.0,12/10/21 08:22,"944 Park St, Calgary, AB B3K–B5A"
276582,Laptop holder,1,67.34,12/30/21 01:18,"791 Denman St, Moncton, NB T9S–T7S"
276583,Apple iPhone 13 Pro Max,1,1549.0,12/10/21 19:37,"344 Cherry St, Toronto, ON L7J–L0H"
276583,Lightning Charging Cable,1,23.99,12/10/21 19:37,"344 Cherry St, Toronto, ON L7J–L0H"
276584,Delve Sound Pro Wireless Headphones,1,79.99,12/22/21 23:16,"539 5th St, Winnipeg, MB V3G–V4V"
276585,Lightning Charging Cable,1,23.99,12/27/21 10:10,"809 11th St, Halifax, NS  B1Y–B5A"
276586,Screen Protector,1,15.49,12/08/21 16:16,"636 Warden Avenue St, Calgary, AB B3K–B5A"
276587,23in Curve Monitor,1,156.99,12/05/21 12:48,"555 Adams St, Vancouver, BC R0K–R6W"
276588,Google ChromeBook A15,1,869.99,12/08/21 13:17,"689 Lakeview St, Charlottetown, PE S2V–S0A"
276589,Xiaomi PowerBank 20000 mAh,1,249.99,12/21/21 19:16,"460 7th St, Toronto, ON L7J–L0H"
276590,Apple Airpods Pro 2 gen,1,249.99,12/16/21 11:56,"860 Radnor St, Halifax, NS  B1Y–B5A"
276591,Google ChromeBook A15,1,869.99,12/02/21 11:34,"735 Hickory St, Saskatoon, SK C1B-C1N"
276592,USB-C Charging Cable,1,17.99,12/06/21 11:27,"830 Jackson St, Toronto, ON L7J–L0H"
276593,Asus Zenfone 8,1,449.99,12/06/21 21:27,"705 Ridge St, Winnipeg, MB V3G–V4V"
276594,Lightning Charging Cable,1,23.99,12/22/21 16:56,"235 Center St, Winnipeg, MB V3G–V4V"
276595,Lightning Charging Cable,1,23.99,12/21/21 19:28,"859 2nd St, Winnipeg, MB V3G–V4V"
276596,Apple Airpods Pro 2 gen,1,249.99,12/19/21 21:43,"973 Rexdale St, Moncton, NB T9S–T7S"
276597,Laptop holder,1,67.34,12/17/21 07:52,"749 Adams St, Charlottetown, PE S2V–S0A"
276598,Delve Sound Pro Wireless Headphones,1,79.99,12/12/21 13:52,"539 Highland St, Calgary, AB B3K–B5A"
276599,ThinkPad IdeaPad 3 laptop,1,649.99,12/16/21 18:16,"549 11th St, Calgary, AB B3K–B5A"
276600,Asus VivoBook X478 laptop,1,1120.0,12/02/21 22:51,"945 8th St, Toronto, ON L7J–L0H"
276601,Laptop holder,1,67.34,12/30/21 16:32,"828 Park St, Charlottetown, PE S2V–S0A"
276602,Xiaomi PowerBank 10000 mAh,1,159.0,12/29/21 14:31,"61 Denman St, Calgary, AB B3K–B5A"
276603,Xiaomi PowerBank 10000 mAh,1,159.0,12/30/21 13:35,"795 Drive St, Vancouver, BC R0K–R6W"
276604,Laptop holder,1,67.34,12/06/21 14:06,"639 Lakeview St, Toronto, ON L7J–L0H"
276605,Lightning Charging Cable,1,23.99,12/04/21 22:20,"573 Georgia Avenue St, Montreal, QC J0Y–H7M "
276606,ThinkPad IdeaPad 3 laptop,1,649.99,12/31/21 18:53,"211 Hickory St, Toronto, ON L7J–L0H"
276607,Apple Airpods Pro 2 gen,1,249.99,12/08/21 20:02,"725 Robson St, Vancouver, BC R0K–R6W"
276608,Asus VivoBook X478 laptop,1,1120.0,12/07/21 10:25,"451 5th St, Toronto, ON L7J–L0H"
276609,SQuality M8 Headphones,1,149.99,12/12/21 23:22,"728 Meadow St, Montreal, QC J0Y–H7M "
276610,Lightning Charging Cable,1,23.99,12/12/21 12:21,"642 Robson St, Toronto, ON L7J–L0H"
276611,USB-C Charging Cable,1,17.99,12/22/21 14:49,"832 9th St, Calgary, AB B3K–B5A"
276612,Asus VivoBook X478 laptop,1,1120.0,12/15/21 17:51,"319 Rockwood St, Halifax, NS  B1Y–B5A"
276613,Apple Airpods Pro 2 gen,1,249.99,12/13/21 14:37,"90 Adams St, Moncton, NB T9S–T7S"
276614,Laptop holder,1,67.34,12/02/21 08:19,"838 7th St, Halifax, NS  B1Y–B5A"
276615,Google Pixel Phone 7,1,799.0,12/29/21 21:05,"212 Railside St, Toronto, ON L7J–L0H"
276616,27in Curve Monitor,1,889.99,12/06/21 11:39,"189 Highland St, Moncton, NB T9S–T7S"
276617,USB-C Charging Cable,1,17.99,12/01/21 12:02,"785 Ridge St, St. Johns, NL A0C–A2B"
276618,Samsung Galaxy S22,1,829.99,12/07/21 11:48,"852 6th St, Montreal, QC J0Y–H7M "
276619,SQuality M8 Headphones,1,149.99,12/19/21 23:24,"536 North St, Calgary, AB B3K–B5A"
276620,Xiaomi PowerBank 20000 mAh,1,249.99,12/15/21 22:56,"217 12th St, Vancouver, BC R0K–R6W"
276621,Delve Sound Pro Wireless Headphones,1,79.99,12/17/21 11:13,"486 Highland St, Toronto, ON L7J–L0H"
276622,Delve Sound Pro Wireless Headphones,1,79.99,12/07/21 21:39,"53 Park St, St. Johns, NL A0C–A2B"
276623,ThinkPad IdeaPad 3 laptop,1,649.99,12/01/21 20:37,"747 Meadow St, Montreal, QC J0Y–H7M "
276624,Laptop holder,1,67.34,12/24/21 02:36,"627 Pylon St, Calgary, AB B3K–B5A"
276625,Delve Sound Pro Wireless Headphones,1,79.99,12/16/21 18:49,"283 Denman St, Saskatoon, SK C1B-C1N"
276626,Delve Sound Pro Wireless Headphones,1,79.99,12/17/21 04:55,"411 Robson St, Winnipeg, MB V3G–V4V"
276627,Samsung Galaxy S22,1,829.99,12/19/21 08:38,"902 Center St, Winnipeg, MB V3G–V4V"
