Order ID,Product name,Order quantity,Price,Order date,Purchase Address
155967,Google ChromeBook A15,1,869.99,02/07/21 07:18,"721 1st St, Calgary, AB B3K–B5A"
155968,Laptop holder,1,67.34,02/25/21 18:30,"961 Lakeview St, Calgary, AB B3K–B5A"
155969,Lenovo Tab Pro A11,1,455.0,02/22/21 16:01,"728 Hickory St, Toronto, ON L7J–L0H"
155970,Xiaomi PowerBank 10000 mAh,1,159.0,02/09/21 08:35,"360 5th St, Montreal, QC J0Y–H7M "
155971,Lightning Charging Cable,1,23.99,02/19/21 19:35,"763 Railside St, Vancouver, BC R0K–R6W"
155972,Asus Zenfone 8,1,449.99,02/28/21 21:29,"351 Lansdale St, Calgary, AB B3K–B5A"
155973,Samsung Galaxy Tab 8,1,679.99,02/02/21 01:31,"980 Drive St, Toronto, ON L7J–L0H"
155974,Asus ROG Phone 5,1,1459.0,02/28/21 16:16,"676 Radnor St, Toronto, ON L7J–L0H"
155974,USB-C Charging Cable,1,17.99,02/28/21 16:16,"676 Radnor St, Toronto, ON L7J–L0H"
155974,SQuality M8 Headphones,1,149.99,02/28/21 16:16,"676 Radnor St, Toronto, ON L7J–L0H"
155975,Google ChromeBook A15,1,869.99,02/17/21 11:55,"56 Railside St, Toronto, ON L7J–L0H"
155976,Laptop holder,1,67.34,02/18/21 07:20,"378 6th St, Toronto, ON L7J–L0H"
155977,Laptop holder,1,67.34,02/01/21 11:47,"553 Center St, Toronto, ON L7J–L0H"
155978,Google ChromeBook A15,1,869.99,02/02/21 07:34,"456 Rockwood St, Winnipeg, MB V3G–V4V"
155979,Xiaomi PowerBank 20000 mAh,1,249.99,02/05/21 21:57,"236 2nd St, St. Johns, NL A0C–A2B"
155980,Lightning Charging Cable,1,23.99,02/14/21 18:55,"627 Marine  St, Montreal, QC J0Y–H7M "
155981,Lightning Charging Cable,1,23.99,02/24/21 13:00,"121 Ridge St, Moncton, NB T9S–T7S"
155982,Laptop holder,1,67.34,02/02/21 20:52,"678 14th St, Vancouver, BC R0K–R6W"
155983,Lightning Charging Cable,1,23.99,02/14/21 17:41,"985 2nd St, Vancouver, BC R0K–R6W"
155984,Xiaomi PowerBank 20000 mAh,1,249.99,02/22/21 01:07,"173 Ridge St, Moncton, NB T9S–T7S"
155985,Xiaomi PowerBank 10000 mAh,1,159.0,02/28/21 21:17,"469 1st St, Moncton, NB T9S–T7S"
155986,Laptop holder,1,67.34,02/11/21 08:16,"875 Ridge St, Toronto, ON L7J–L0H"
155987,SQuality M8 Headphones,1,149.99,02/14/21 22:10,"348 Dogwood St, Calgary, AB B3K–B5A"
155988,Asus VivoBook X478 laptop,1,1120.0,02/13/21 18:16,"393 Highland St, Toronto, ON L7J–L0H"
155989,USB-C Charging Cable,1,17.99,02/23/21 23:47,"859 Canlish St, Calgary, AB B3K–B5A"
155990,Xiaomi PowerBank 10000 mAh,1,159.0,02/19/21 12:18,"346 North St, Calgary, AB B3K–B5A"
155991,Lightning Charging Cable,1,23.99,02/01/21 13:40,"849 6th St, Halifax, NS  B1Y–B5A"
155992,Xiaomi PowerBank 20000 mAh,1,249.99,02/22/21 10:20,"30 Lakeview St, Charlottetown, PE S2V–S0A"
155993,USB-C Charging Cable,1,17.99,02/17/21 19:45,"36 Denman St, Montreal, QC J0Y–H7M "
155994,SQuality M8 Headphones,1,149.99,02/10/21 07:30,"490 Main St, Calgary, AB B3K–B5A"
155995,Xiaomi PowerBank 20000 mAh,1,249.99,02/19/21 20:36,"832 Marine  St, Vancouver, BC R0K–R6W"
155996,Screen Protector,1,15.49,02/14/21 02:14,"993 Johnson St, Montreal, QC J0Y–H7M "
155997,USB-C Charging Cable,1,17.99,02/23/21 05:53,"546 5th St, Montreal, QC J0Y–H7M "
155998,23in Curve Monitor,1,156.99,02/06/21 18:17,"422 Robson St, Vancouver, BC R0K–R6W"
155999,Laptop holder,1,67.34,02/17/21 15:44,"571 Lansdale St, Calgary, AB B3K–B5A"
156000,Apple Airpods Pro 2 gen,1,249.99,02/28/21 12:23,"431 Radnor St, Calgary, AB B3K–B5A"
Order ID,Product name,Order quantity,Price,Order date,Purchase Address
156001,Asus VivoBook X478 laptop,1,1120,02/18/21 21:06,"264 14th St, St. Johns, NL A0C–A2B"
156002,SQuality M8 Headphones,1,149.99,02/13/21 19:30,"855 Park St, Toronto, ON L7J–L0H"
156003,USB-C Charging Cable,1,17.99,02/12/21 14:41,"335 Marine  St, Toronto, ON L7J–L0H"
156004,Google Pixel Phone 7,1,799,02/07/21 08:53,"319 Cherry St, Vancouver, BC R0K–R6W"
156005,USB-C Charging Cable,1,17.99,02/27/21 19:47,"612 North St, Toronto, ON L7J–L0H"
156006,Samsung Galaxy S22,1,829.99,02/13/21 18:19,"31 Cherry St, Toronto, ON L7J–L0H"
156007,Screen Protector,1,15.49,02/04/21 18:48,"473 Johnson St, Calgary, AB B3K–B5A"
156008,27in Curve Monitor,1,889.99,02/16/21 22:07,"75 Railside St, Halifax, NS  B1Y–B5A"
156009,USB-C Charging Cable,1,17.99,02/24/21 08:23,"348 Jackson St, Halifax, NS  B1Y–B5A"
156010,Google Pixel Phone 7,1,799,02/28/21 21:45,"334 Rexdale St, Calgary, AB B3K–B5A"
156011,Xiaomi PowerBank 20000 mAh,1,249.99,02/13/21 15:05,"731 Adams St, Calgary, AB B3K–B5A"
156012,USB-C Charging Cable,1,17.99,02/26/21 12:24,"407 1st St, Montreal, QC J0Y–H7M "
156013,ThinkPad IdeaPad 3 laptop,1,649.99,02/13/21 18:52,"658 Pine St, Toronto, ON L7J–L0H"
156014,Apple Airpods Pro 2 gen,1,249.99,02/05/21 03:41,"783 Robson St, Vancouver, BC R0K–R6W"
156015,Delve Sound Pro Wireless Headphones,1,79.99,02/02/21 14:44,"499 5th St, Calgary, AB B3K–B5A"
156016,Samsung Galaxy Tab 8,1,679.99,02/28/21 01:23,"379 Maple St, Halifax, NS  B1Y–B5A"
156016,27in Curve Monitor,1,889.99,02/28/21 01:23,"379 Maple St, Halifax, NS  B1Y–B5A"
156017,Asus ROG Phone 5,1,1459,02/13/21 10:02,"699 Cherry St, Winnipeg, MB V3G–V4V"
156017,USB-C Charging Cable,1,17.99,02/13/21 10:02,"699 Cherry St, Winnipeg, MB V3G–V4V"
156018,Samsung Galaxy Tab 8,1,679.99,02/17/21 07:44,"423 Albion St, Charlottetown, PE S2V–S0A"
156019,Asus VivoBook X478 laptop,1,1120,02/14/21 06:51,"249 7th St, Toronto, ON L7J–L0H"
156020,USB-C Charging Cable,1,17.99,02/01/21 21:42,"183 Marine  St, Calgary, AB B3K–B5A"
156021,Samsung Galaxy Tab 8,1,679.99,02/13/21 01:30,"776 Radnor St, Toronto, ON L7J–L0H"
156022,Screen Protector,1,15.49,02/24/21 15:00,"56 Park St, Calgary, AB B3K–B5A"
156023,23in Curve Monitor,1,156.99,02/11/21 22:11,"815 8th St, St. Johns, NL A0C–A2B"
156024,Delve Sound Pro Wireless Headphones,1,79.99,02/27/21 12:53,"211 Cherry St, St. Johns, NL A0C–A2B"
156025,USB-C Charging Cable,1,17.99,02/04/21 22:05,"940 Rockwood St, St. Johns, NL A0C–A2B"
156026,23in Curve Monitor,1,156.99,02/25/21 16:25,"676 Milston St, Vancouver, BC R0K–R6W"
156027,Samsung Galaxy S22,1,829.99,02/18/21 12:14,"475 13th St, Winnipeg, MB V3G–V4V"
156028,Google Pixel Phone 7,1,799,02/16/21 19:23,"654 7th St, Halifax, NS  B1Y–B5A"
156028,USB-C Charging Cable,1,17.99,02/16/21 19:23,"654 7th St, Halifax, NS  B1Y–B5A"
156029,SQuality M8 Headphones,1,149.99,02/26/21 18:23,"802 North St, Toronto, ON L7J–L0H"
156030,USB-C Charging Cable,1,17.99,02/22/21 12:02,"110 Whitecap St, Calgary, AB B3K–B5A"
156031,27in Curve Monitor,1,889.99,02/23/21 17:22,"135 Georgia Avenue St, Vancouver, BC R0K–R6W"
156032,Laptop holder,1,67.34,02/15/21 11:49,"70 8th St, Montreal, QC J0Y–H7M "
156033,SQuality M8 Headphones,1,149.99,02/15/21 05:06,"167 Lakeview St, Halifax, NS  B1Y–B5A"
156034,27in Curve Monitor,1,889.99,02/22/21 19:24,"915 9th St, Toronto, ON L7J–L0H"
156035,USB-C Charging Cable,1,17.99,02/02/21 06:46,"750 Jefferson St, Toronto, ON L7J–L0H"
156036,Xiaomi PowerBank 10000 mAh,1,159,02/20/21 15:26,"389 Meadow St, Halifax, NS  B1Y–B5A"
156037,Google Pixel Phone 7,1,799,02/02/21 16:31,"403 14th St, Montreal, QC J0Y–H7M "
156038,USB-C Charging Cable,1,17.99,02/13/21 10:38,"462 Milston St, Toronto, ON L7J–L0H"
156039,Screen Protector,1,15.49,02/21/21 17:25,"800 14th St, Winnipeg, MB V3G–V4V"
156040,Asus ROG Phone 5,1,1459,02/27/21 17:31,"960 Hickory St, Toronto, ON L7J–L0H"
156041,USB-C Charging Cable,1,17.99,02/10/21 16:21,"825 Pine St, Toronto, ON L7J–L0H"
156042,USB-C Charging Cable,1,17.99,02/17/21 09:35,"886 Adams St, Calgary, AB B3K–B5A"
156043,USB-C Charging Cable,1,17.99,02/13/21 09:22,"554 Highland St, Toronto, ON L7J–L0H"
156044,USB-C Charging Cable,1,17.99,02/21/21 22:07,"570 Rockwood St, St. Johns, NL A0C–A2B"
156045,Google Pixel Phone 7,1,799,02/28/21 18:56,"722 Lakeview St, Winnipeg, MB V3G–V4V"
156045,Screen Protector,1,15.49,02/28/21 18:56,"722 Lakeview St, Winnipeg, MB V3G–V4V"
156045,Delve Sound Pro Wireless Headphones,1,79.99,02/28/21 18:56,"722 Lakeview St, Winnipeg, MB V3G–V4V"
156046,Screen Protector,1,15.49,02/26/21 14:55,"422 Jefferson St, Calgary, AB B3K–B5A"
156047,Apple iPhone 13 Pro Max,1,1549,02/05/21 00:46,"131 1st St, Calgary, AB B3K–B5A"
156048,Apple iPhone 13 Pro Max,1,1549,02/14/21 12:52,"198 Main St, Calgary, AB B3K–B5A"
156049,Xiaomi PowerBank 10000 mAh,1,159,02/17/21 15:38,"376 7th St, Winnipeg, MB V3G–V4V"
