Order ID,Product name,Order quantity,Price,Order date,Purchase Address
141234,Xiaomi PowerBank 10000 mAh,1,159.0,01/17/21 14:05,"726 Adams St, Montreal, QC J0Y–H7M "
141235,SQuality M8 Headphones,1,149.99,01/10/21 02:13,"942 13th St, Montreal, QC J0Y–H7M "
141236,Apple Airpods Pro 2 gen,1,249.99,01/12/21 00:42,"213 Ridge St, Halifax, NS  B1Y–B5A"
141237,Xiaomi PowerBank 10000 mAh,1,159.0,01/11/21 20:28,"431 Park St, Calgary, AB B3K–B5A"
141238,USB-C Charging Cable,1,17.99,01/29/21 14:13,"119 Rexdale St, Charlottetown, PE S2V–S0A"
141239,Samsung Galaxy S22,1,829.99,01/29/21 13:32,"816 Marine  St, Toronto, ON L7J–L0H"
141240,Lenovo Tab Pro A11,1,455.0,01/06/21 02:42,"154 Whitecap St, Toronto, ON L7J–L0H"
141241,SQuality M8 Headphones,1,149.99,01/31/21 00:35,"418 Dogwood St, St. Johns, NL A0C–A2B"
141242,USB-C Charging Cable,1,17.99,01/15/21 20:34,"59 11th St, Calgary, AB B3K–B5A"
141243,Laptop holder,1,67.34,01/17/21 18:50,"581 Adams St, Winnipeg, MB V3G–V4V"
141244,Samsung Galaxy Tab 8,1,679.99,01/19/21 17:43,"270 Whitecap St, Toronto, ON L7J–L0H"
141245,Screen Protector,1,15.49,01/11/21 17:42,"578 8th St, Toronto, ON L7J–L0H"
141246,27in Curve Monitor,1,889.99,01/15/21 08:20,"340 Railside St, St. Johns, NL A0C–A2B"
141247,Laptop holder,1,67.34,01/28/21 21:35,"32 Meadow St, Toronto, ON L7J–L0H"
141248,Lightning Charging Cable,1,23.99,01/20/21 20:53,"745 Denman St, Montreal, QC J0Y–H7M "
141249,Lenovo Tab Pro A11,1,455.0,01/19/21 15:59,"851 10th St, Vancouver, BC R0K–R6W"
141250,Apple Airpods Pro 2 gen,1,249.99,01/27/21 18:16,"175 Dogwood St, Montreal, QC J0Y–H7M "
141251,Apple Airpods Pro 2 gen,1,249.99,01/29/21 16:59,"797 Meadow St, Halifax, NS  B1Y–B5A"
141252,Screen Protector,1,15.49,01/14/21 18:26,"741 2nd St, Halifax, NS  B1Y–B5A"
141253,23in Curve Monitor,1,156.99,01/14/21 11:26,"517 Jackson St, Calgary, AB B3K–B5A"
141254,Laptop holder,1,67.34,01/17/21 20:06,"372 Rexdale St, Calgary, AB B3K–B5A"
141255,Xiaomi PowerBank 10000 mAh,1,159.0,01/01/21 18:44,"657 Madison St, Montreal, QC J0Y–H7M "
141256,Laptop holder,1,67.34,01/12/21 05:31,"208 Rockwood St, Montreal, QC J0Y–H7M "
141257,Google Pixel Phone 7,1,799.0,01/17/21 22:18,"360 Adams St, Winnipeg, MB V3G–V4V"
141258,Google Pixel Phone 7,1,799.0,01/04/21 12:45,"268 12th St, Winnipeg, MB V3G–V4V"
141258,Screen Protector,1,15.49,01/04/21 12:45,"268 12th St, Winnipeg, MB V3G–V4V"
141259,Samsung Galaxy S22,1,829.99,01/13/21 13:46,"639 Pine St, Calgary, AB B3K–B5A"
141260,Screen Protector,1,15.49,01/11/21 19:20,"731 North St, Charlottetown, PE S2V–S0A"
141261,Samsung Galaxy Tab 8,1,679.99,01/31/21 18:17,"431 4th St, Vancouver, BC R0K–R6W"
141262,Lightning Charging Cable,1,23.99,01/25/21 17:25,"588 South St, Toronto, ON L7J–L0H"
141263,Lightning Charging Cable,1,23.99,01/19/21 11:12,"858 Drive St, Toronto, ON L7J–L0H"
141264,Samsung Galaxy Tab 8,1,679.99,01/23/21 20:13,"255 Radnor St, Calgary, AB B3K–B5A"
141265,Lightning Charging Cable,1,23.99,01/03/21 18:32,"423 Rockwood St, Calgary, AB B3K–B5A"
141266,Delve Sound Pro Wireless Headphones,1,79.99,01/02/21 03:03,"76 Maple St, Montreal, QC J0Y–H7M "
141267,USB-C Charging Cable,1,17.99,01/30/21 18:55,"632 13th St, Toronto, ON L7J–L0H"
141268,Samsung Galaxy S22,1,829.99,01/04/21 15:27,"75 Hickory St, Toronto, ON L7J–L0H"
141269,USB-C Charging Cable,1,17.99,01/15/21 04:56,"188 Main St, Halifax, NS  B1Y–B5A"
141270,Xiaomi PowerBank 10000 mAh,1,159.0,01/27/21 17:57,"758 Robson St, Calgary, AB B3K–B5A"
141271,Lightning Charging Cable,1,23.99,01/12/21 08:58,"130 5th St, Vancouver, BC R0K–R6W"
141272,Lightning Charging Cable,1,23.99,01/14/21 23:18,"493 8th St, Toronto, ON L7J–L0H"
141273,ThinkPad IdeaPad 3 laptop,1,649.99,01/13/21 12:22,"325 Jefferson St, Charlottetown, PE S2V–S0A"
141274,Asus ROG Phone 5,1,1459.0,01/28/21 17:57,"300 7th St, Calgary, AB B3K–B5A"
141275,Apple Airpods Pro 2 gen,1,249.99,01/29/21 14:24,"519 Canlish St, St. Johns, NL A0C–A2B"
141275,Asus VivoBook X478 laptop,1,1120.0,01/29/21 14:24,"519 Canlish St, St. Johns, NL A0C–A2B"
