Order ID,Product name,Order quantity,Price,Order date,Purchase Address
212170,Xiaomi PowerBank 20000 mAh,1,249.99,07/22/21 22:26,"604 Hickory St, Toronto, ON L7J–L0H"
212171,Apple Airpods Pro 2 gen,1,249.99,07/16/21 14:21,"810 Ridge St, Calgary, AB B3K–B5A"
212172,Delve Sound Pro Wireless Headphones,1,79.99,07/15/21 18:20,"732 Dogwood St, Toronto, ON L7J–L0H"
212173,Apple Airpods Pro 2 gen,1,249.99,07/06/21 19:11,"400 11th St, Halifax, NS  B1Y–B5A"
212174,Lightning Charging Cable,1,23.99,07/18/21 08:13,"495 6th St, Vancouver, BC R0K–R6W"
212175,Delve Sound Pro Wireless Headphones,1,79.99,07/11/21 10:48,"297 Whitecap St, Toronto, ON L7J–L0H"
212176,Samsung Galaxy Tab 8,1,679.99,07/02/21 16:32,"815 Pylon St, Calgary, AB B3K–B5A"
212177,Samsung Galaxy S22,1,829.99,07/12/21 13:03,"373 7th St, Calgary, AB B3K–B5A"
212177,Screen Protector,1,15.49,07/12/21 13:03,"373 7th St, Calgary, AB B3K–B5A"
212178,USB-C Charging Cable,1,17.99,07/25/21 02:18,"623 Robson St, Montreal, QC J0Y–H7M "
212179,Asus ROG Phone 5,1,1459.0,07/29/21 14:00,"651 4th St, Montreal, QC J0Y–H7M "
212180,Xiaomi PowerBank 20000 mAh,1,249.99,07/07/21 12:24,"827 Ridge St, Montreal, QC J0Y–H7M "
212181,Delve Sound Pro Wireless Headphones,1,79.99,07/06/21 14:49,"650 Rockwood St, Winnipeg, MB V3G–V4V"
212182,Screen Protector,1,15.49,07/26/21 13:02,"859 Meadow St, Vancouver, BC R0K–R6W"
212183,Laptop holder,1,67.34,07/06/21 12:58,"585 Denman St, Toronto, ON L7J–L0H"
212184,Laptop holder,1,67.34,07/01/21 14:38,"989 Marine  St, Halifax, NS  B1Y–B5A"
212185,Delve Sound Pro Wireless Headphones,1,79.99,07/31/21 11:22,"952 Lakeview St, St. Johns, NL A0C–A2B"
212186,Laptop holder,2,67.34,07/25/21 10:22,"31 Johnson St, Toronto, ON L7J–L0H"
212187,Laptop holder,1,67.34,07/28/21 23:22,"269 11th St, Vancouver, BC R0K–R6W"
212188,Lightning Charging Cable,1,23.99,07/10/21 10:42,"717 Robson St, Winnipeg, MB V3G–V4V"
212189,23in Curve Monitor,1,156.99,07/05/21 17:30,"602 Pylon St, Vancouver, BC R0K–R6W"
212190,ThinkPad IdeaPad 3 laptop,1,649.99,07/24/21 10:49,"479 Highland St, Toronto, ON L7J–L0H"
212191,USB-C Charging Cable,1,17.99,07/04/21 22:07,"548 12th St, Vancouver, BC R0K–R6W"
212192,Delve Sound Pro Wireless Headphones,1,79.99,07/05/21 12:20,"786 Georgia Avenue St, Toronto, ON L7J–L0H"
212193,Screen Protector,1,15.49,07/04/21 23:24,"623 Johnson St, Montreal, QC J0Y–H7M "
212194,Apple Airpods Pro 2 gen,1,249.99,07/13/21 12:12,"573 7th St, Calgary, AB B3K–B5A"
212195,Lightning Charging Cable,1,23.99,07/30/21 12:22,"659 Center St, Calgary, AB B3K–B5A"
212196,USB-C Charging Cable,1,17.99,07/18/21 11:20,"141 Marine  St, Charlottetown, PE S2V–S0A"
212197,Apple Airpods Pro 2 gen,1,249.99,07/03/21 11:09,"86 1st St, Calgary, AB B3K–B5A"
212198,Laptop holder,1,67.34,07/07/21 03:25,"612 Dogwood St, Halifax, NS  B1Y–B5A"
212199,Apple Airpods Pro 2 gen,1,249.99,07/13/21 20:39,"308 Albion St, Montreal, QC J0Y–H7M "
212200,Xiaomi PowerBank 10000 mAh,1,159.0,07/27/21 14:39,"31 Highland St, St. Johns, NL A0C–A2B"
212201,23in Curve Monitor,1,156.99,07/26/21 02:02,"281 14th St, Montreal, QC J0Y–H7M "
212202,Apple Airpods Pro 2 gen,1,249.99,07/30/21 02:04,"269 11th St, Halifax, NS  B1Y–B5A"
212203,Xiaomi PowerBank 10000 mAh,1,159.0,07/25/21 21:13,"814 Center St, Montreal, QC J0Y–H7M "
212204,Xiaomi PowerBank 20000 mAh,1,249.99,07/27/21 14:09,"457 Highland St, Winnipeg, MB V3G–V4V"
212205,Apple iPhone 13 Pro Max,1,1549.0,07/08/21 13:25,"513 Marine  St, St. Johns, NL A0C–A2B"
212206,Laptop holder,1,67.34,07/06/21 22:14,"482 Madison St, Vancouver, BC R0K–R6W"
212207,Xiaomi PowerBank 10000 mAh,1,159.0,07/13/21 16:17,"857 Ridge St, Vancouver, BC R0K–R6W"
212208,Samsung Galaxy S22,1,829.99,07/04/21 20:09,"83 Whitecap St, Montreal, QC J0Y–H7M "
212209,ThinkPad IdeaPad 3 laptop,1,649.99,07/25/21 13:10,"870 Railside St, Toronto, ON L7J–L0H"
212210,USB-C Charging Cable,1,17.99,07/16/21 19:15,"769 Railside St, Calgary, AB B3K–B5A"
212211,Lightning Charging Cable,1,23.99,07/11/21 13:38,"590 8th St, Toronto, ON L7J–L0H"
212212,Lightning Charging Cable,2,23.99,07/18/21 06:08,"191 14th St, Montreal, QC J0Y–H7M "
212213,USB-C Charging Cable,1,17.99,07/02/21 20:45,"337 4th St, Toronto, ON L7J–L0H"
212214,Delve Sound Pro Wireless Headphones,1,79.99,07/11/21 08:49,"455 Railside St, Montreal, QC J0Y–H7M "
212215,Xiaomi PowerBank 20000 mAh,1,249.99,07/27/21 09:22,"964 Warden Avenue St, Toronto, ON L7J–L0H"
212216,Asus ROG Phone 5,1,1459.0,07/21/21 16:20,"312 1st St, Toronto, ON L7J–L0H"
212216,USB-C Charging Cable,1,17.99,07/21/21 16:20,"312 1st St, Toronto, ON L7J–L0H"
212216,Screen Protector,1,15.49,07/21/21 16:20,"312 1st St, Toronto, ON L7J–L0H"
212217,Asus Zenfone 8,1,449.99,07/11/21 04:33,"779 12th St, Moncton, NB T9S–T7S"
212218,Apple iPhone 13 Pro Max,1,1549.0,07/14/21 16:01,"860 Cherry St, St. Johns, NL A0C–A2B"
212219,Xiaomi PowerBank 10000 mAh,1,159.0,07/26/21 20:36,"138 Pylon St, Toronto, ON L7J–L0H"
212220,Asus Zenfone 8,1,449.99,07/31/21 06:53,"614 14th St, Toronto, ON L7J–L0H"
212221,Samsung Galaxy S22,1,829.99,07/02/21 10:07,"115 Adams St, St. Johns, NL A0C–A2B"
212222,Delve Sound Pro Wireless Headphones,1,79.99,07/18/21 23:31,"667 1st St, Toronto, ON L7J–L0H"
212223,Xiaomi PowerBank 20000 mAh,1,249.99,07/31/21 17:36,"981 Radnor St, Winnipeg, MB V3G–V4V"
212224,Apple iPhone 13 Pro Max,1,1549.0,07/14/21 02:06,"459 Milston St, Charlottetown, PE S2V–S0A"
212225,Apple Airpods Pro 2 gen,1,249.99,07/17/21 12:28,"892 Johnson St, Toronto, ON L7J–L0H"
212226,Delve Sound Pro Wireless Headphones,1,79.99,08/01/21 00:01,"69 Ridge St, Calgary, AB B3K–B5A"
Order ID,Product name,Order quantity,Price,Order date,Purchase Address
212227,Xiaomi PowerBank 10000 mAh,1,159,07/20/21 23:42,"144 Center St, Halifax, NS  B1Y–B5A"
212228,Xiaomi PowerBank 10000 mAh,1,159,07/03/21 08:24,"163 Center St, Calgary, AB B3K–B5A"
212229,52in Wide Monitor,1,1899.99,07/04/21 09:27,"570 Canlish St, Toronto, ON L7J–L0H"
212230,Asus Zenfone 8,1,449.99,07/28/21 12:06,"41 Pine St, Charlottetown, PE S2V–S0A"
212231,Laptop holder,1,67.34,07/10/21 08:59,"187 Meadow St, Calgary, AB B3K–B5A"
212232,Lightning Charging Cable,1,23.99,07/19/21 14:08,"566 Rexdale St, Montreal, QC J0Y–H7M "
212233,Delve Sound Pro Wireless Headphones,1,79.99,07/18/21 18:42,"834 Lakeview St, Calgary, AB B3K–B5A"
212234,USB-C Charging Cable,1,17.99,07/19/21 19:36,"297 Albion St, Calgary, AB B3K–B5A"
212235,Samsung Galaxy Tab 8,1,679.99,07/10/21 10:26,"280 Railside St, Moncton, NB T9S–T7S"
212236,Lenovo Tab Pro A11,1,455,07/11/21 22:10,"496 9th St, Toronto, ON L7J–L0H"
212237,Google Pixel Phone 7,1,799,07/30/21 13:10,"798 Hickory St, Vancouver, BC R0K–R6W"
212238,Delve Sound Pro Wireless Headphones,1,79.99,07/19/21 10:29,"398 Jackson St, Toronto, ON L7J–L0H"
212239,Asus VivoBook X478 laptop,1,1120,07/03/21 12:50,"873 Railside St, Vancouver, BC R0K–R6W"
212240,Google Pixel Phone 7,1,799,07/22/21 16:16,"519 Denman St, Halifax, NS  B1Y–B5A"
212241,Lightning Charging Cable,1,23.99,07/12/21 13:23,"77 Park St, Halifax, NS  B1Y–B5A"
212242,27in Curve Monitor,1,889.99,07/28/21 13:10,"663 Canlish St, Toronto, ON L7J–L0H"
212243,Lightning Charging Cable,1,23.99,07/19/21 09:35,"186 Highland St, Montreal, QC J0Y–H7M "
212244,Apple Airpods Pro 2 gen,1,249.99,07/10/21 00:33,"887 Robson St, Toronto, ON L7J–L0H"
212245,USB-C Charging Cable,1,17.99,07/10/21 18:05,"370 Radnor St, St. Johns, NL A0C–A2B"
212246,Apple iPhone 13 Pro Max,1,1549,07/25/21 10:08,"18 Maple St, Calgary, AB B3K–B5A"
212246,Screen Protector,1,15.49,07/25/21 10:08,"18 Maple St, Calgary, AB B3K–B5A"
212247,USB-C Charging Cable,1,17.99,07/23/21 13:49,"831 Madison St, Toronto, ON L7J–L0H"
212248,Google Pixel Phone 7,1,799,07/16/21 21:06,"901 Marine  St, Montreal, QC J0Y–H7M "
212249,Laptop holder,1,67.34,07/31/21 09:22,"306 Main St, Calgary, AB B3K–B5A"
212250,27in Curve Monitor,1,889.99,07/04/21 21:10,"181 Madison St, Toronto, ON L7J–L0H"
212251,Xiaomi PowerBank 10000 mAh,1,159,07/25/21 01:04,"79 North St, Winnipeg, MB V3G–V4V"
212252,Lightning Charging Cable,1,23.99,07/18/21 11:01,"64 North St, Calgary, AB B3K–B5A"
212253,Lightning Charging Cable,1,23.99,07/12/21 20:06,"569 Johnson St, Calgary, AB B3K–B5A"
212254,Delve Sound Pro Wireless Headphones,1,79.99,07/25/21 21:23,"192 South St, Toronto, ON L7J–L0H"
212255,USB-C Charging Cable,1,17.99,07/09/21 09:11,"211 7th St, Toronto, ON L7J–L0H"
212256,27in Curve Monitor,1,889.99,07/08/21 13:55,"33 Canlish St, Toronto, ON L7J–L0H"
212257,23in Curve Monitor,1,156.99,07/29/21 17:15,"787 Warden Avenue St, Toronto, ON L7J–L0H"
212258,27in Curve Monitor,1,889.99,07/29/21 11:49,"676 Jackson St, Toronto, ON L7J–L0H"
212258,Screen Protector,1,15.49,07/29/21 11:49,"676 Jackson St, Toronto, ON L7J–L0H"
212259,Samsung Galaxy S22,1,829.99,07/06/21 15:01,"10 North St, St. Johns, NL A0C–A2B"
212260,Lenovo Tab Pro A11,1,455,07/11/21 12:20,"416 Pylon St, St. Johns, NL A0C–A2B"
212261,Lightning Charging Cable,1,23.99,07/10/21 10:45,"840 7th St, Calgary, AB B3K–B5A"
212262,Lightning Charging Cable,1,23.99,07/29/21 12:09,"285 Dogwood St, Toronto, ON L7J–L0H"
212263,Xiaomi PowerBank 10000 mAh,1,159,07/10/21 10:51,"968 1st St, Vancouver, BC R0K–R6W"
212264,27in Curve Monitor,1,889.99,07/15/21 21:41,"260 Main St, Toronto, ON L7J–L0H"
212265,Xiaomi PowerBank 10000 mAh,1,159,07/29/21 19:19,"223 Adams St, Vancouver, BC R0K–R6W"
212266,Screen Protector,1,15.49,07/07/21 23:38,"35 Robson St, Calgary, AB B3K–B5A"
212267,Xiaomi PowerBank 10000 mAh,1,159,07/20/21 19:33,"683 10th St, Vancouver, BC R0K–R6W"
212268,ThinkPad IdeaPad 3 laptop,1,649.99,07/24/21 19:12,"808 12th St, Calgary, AB B3K–B5A"
212269,Delve Sound Pro Wireless Headphones,1,79.99,07/17/21 11:03,"681 1st St, St. Johns, NL A0C–A2B"
212270,Asus ROG Phone 5,1,1459,07/28/21 16:07,"775 Canlish St, Montreal, QC J0Y–H7M "
212270,USB-C Charging Cable,1,17.99,07/28/21 16:07,"775 Canlish St, Montreal, QC J0Y–H7M "
