Order ID,Product name,Order quantity,Price,Order date,Purchase Address
195767,Google ChromeBook A15,1,869.99,06/15/21 09:32,"476 Madison St, Toronto, ON L7J–L0H"
195768,Apple Airpods Pro 2 gen,1,249.99,06/01/21 20:41,"711 7th St, Halifax, NS  B1Y–B5A"
195769,Delve Sound Pro Wireless Headphones,1,79.99,06/13/21 20:49,"777 Madison St, Winnipeg, MB V3G–V4V"
195770,ThinkPad IdeaPad 3 laptop,1,649.99,06/26/21 04:32,"466 10th St, Montreal, QC J0Y–H7M "
195771,Xiaomi PowerBank 10000 mAh,1,159.0,06/04/21 00:09,"927 Park St, Moncton, NB T9S–T7S"
195772,Lightning Charging Cable,1,23.99,06/30/21 07:16,"351 7th St, Halifax, NS  B1Y–B5A"
195773,Lightning Charging Cable,1,23.99,06/10/21 19:21,"311 7th St, Toronto, ON L7J–L0H"
195774,Samsung Galaxy Tab 8,1,679.99,06/26/21 19:08,"684 Highland St, Calgary, AB B3K–B5A"
195775,SQuality M8 Headphones,1,149.99,06/23/21 19:52,"323 Maple St, Winnipeg, MB V3G–V4V"
195776,Lightning Charging Cable,1,23.99,06/13/21 15:02,"528 Robson St, Toronto, ON L7J–L0H"
195777,Asus ROG Phone 5,1,1459.0,06/04/21 15:25,"948 13th St, Halifax, NS  B1Y–B5A"
195778,Google Pixel Phone 7,1,799.0,06/05/21 12:33,"339 Georgia Avenue St, Toronto, ON L7J–L0H"
195779,Lenovo Tab Pro A11,1,455.0,06/02/21 02:20,"469 Albion St, Toronto, ON L7J–L0H"
195780,Google ChromeBook A15,1,869.99,06/22/21 14:15,"385 6th St, Winnipeg, MB V3G–V4V"
195781,Laptop holder,1,67.34,06/06/21 17:02,"775 Jackson St, Toronto, ON L7J–L0H"
195782,Xiaomi PowerBank 20000 mAh,1,249.99,06/22/21 16:04,"29 Robson St, Vancouver, BC R0K–R6W"
195783,Lightning Charging Cable,1,23.99,06/28/21 19:44,"5 6th St, Toronto, ON L7J–L0H"
195784,Asus ROG Phone 5,1,1459.0,06/01/21 14:16,"144 Johnson St, Vancouver, BC R0K–R6W"
195785,Lightning Charging Cable,1,23.99,06/19/21 11:27,"229 Drive St, Toronto, ON L7J–L0H"
195786,SQuality M8 Headphones,1,149.99,06/14/21 09:25,"951 9th St, Toronto, ON L7J–L0H"
195787,Xiaomi PowerBank 20000 mAh,1,249.99,06/23/21 12:50,"21 North St, Toronto, ON L7J–L0H"
195788,Lightning Charging Cable,1,23.99,06/05/21 11:16,"774 Denman St, Vancouver, BC R0K–R6W"
195789,Google ChromeBook A15,1,869.99,06/24/21 14:51,"260 Warden Avenue St, Montreal, QC J0Y–H7M "
195790,Delve Sound Pro Wireless Headphones,1,79.99,06/10/21 16:58,"851 Hickory St, Montreal, QC J0Y–H7M "
195790,Samsung Galaxy S22,1,829.99,06/10/21 16:58,"851 Hickory St, Montreal, QC J0Y–H7M "
195791,Screen Protector,1,15.49,06/17/21 06:47,"658 Lakeview St, Toronto, ON L7J–L0H"
