Order ID,Product name,Order quantity,Price,Order date,Purchase Address
164682,27in Curve Monitor,1,889.99,03/22/21 14:41,"237 1st St, Vancouver, BC R0K–R6W"
164683,Xiaomi PowerBank 10000 mAh,1,159.0,03/05/21 19:41,"373 South St, St. Johns, NL A0C–A2B"
164684,Xiaomi PowerBank 10000 mAh,1,159.0,03/01/21 22:35,"779 8th St, Calgary, AB B3K–B5A"
164685,27in Curve Monitor,1,889.99,03/14/21 22:14,"813 Radnor St, Toronto, ON L7J–L0H"
164686,Samsung Galaxy Tab 8,1,679.99,03/19/21 11:51,"265 Meadow St, Calgary, AB B3K–B5A"
164687,Laptop holder,1,67.34,03/06/21 22:18,"758 Meadow St, Montreal, QC J0Y–H7M "
164688,27in Curve Monitor,1,889.99,03/21/21 18:07,"15 South St, Toronto, ON L7J–L0H"
164689,Xiaomi PowerBank 10000 mAh,1,159.0,03/20/21 12:17,"394 13th St, Calgary, AB B3K–B5A"
164690,USB-C Charging Cable,1,17.99,03/12/21 20:40,"958 11th St, Halifax, NS  B1Y–B5A"
164691,Laptop holder,1,67.34,03/19/21 20:09,"401 Railside St, Toronto, ON L7J–L0H"
164692,Apple Airpods Pro 2 gen,1,249.99,03/11/21 11:09,"766 5th St, Toronto, ON L7J–L0H"
164693,Apple iPhone 13 Pro Max,1,1549.0,03/05/21 02:52,"528 Railside St, Vancouver, BC R0K–R6W"
164694,Laptop holder,1,67.34,03/05/21 17:42,"168 South St, Winnipeg, MB V3G–V4V"
164695,Lightning Charging Cable,1,23.99,03/14/21 23:20,"189 9th St, Toronto, ON L7J–L0H"
164696,Xiaomi PowerBank 20000 mAh,1,249.99,03/11/21 10:30,"449 Johnson St, Toronto, ON L7J–L0H"
164697,Samsung Galaxy S22,1,829.99,03/06/21 01:38,"110 North St, Toronto, ON L7J–L0H"
164698,Asus VivoBook X478 laptop,1,1120.0,03/18/21 11:57,"360 Hickory St, Montreal, QC J0Y–H7M "
164699,Laptop holder,1,67.34,03/11/21 14:04,"811 Jefferson St, St. Johns, NL A0C–A2B"
164700,52in Wide Monitor,1,1899.99,03/06/21 10:28,"502 Robson St, Calgary, AB B3K–B5A"
164701,Apple Airpods Pro 2 gen,1,249.99,03/04/21 07:22,"296 Warden Avenue St, Toronto, ON L7J–L0H"
