Order ID,Product name,Order quantity,Price,Order date,Purchase Address
185559,Apple Airpods Pro 2 gen,1,249.99,05/15/21 22:07,"524 Pine St, St. Johns, NL A0C–A2B"
185560,Lightning Charging Cable,1,23.99,05/20/21 17:31,"153 Madison St, Moncton, NB T9S–T7S"
185561,USB-C Charging Cable,1,17.99,05/22/21 15:44,"519 Warden Avenue St, Vancouver, BC R0K–R6W"
185562,Xiaomi PowerBank 10000 mAh,1,159.0,05/11/21 21:39,"760 Drive St, Charlottetown, PE S2V–S0A"
185563,Samsung Galaxy S22,1,829.99,05/18/21 00:32,"4 Railside St, Calgary, AB B3K–B5A"
185564,USB-C Charging Cable,1,17.99,05/22/21 07:28,"820 Lakeview St, Calgary, AB B3K–B5A"
185565,Asus Zenfone 8,1,449.99,05/21/21 10:24,"269 8th St, Calgary, AB B3K–B5A"
185566,Lightning Charging Cable,1,23.99,05/05/21 23:51,"533 Canlish St, Toronto, ON L7J–L0H"
185567,Delve Sound Pro Wireless Headphones,1,79.99,05/13/21 21:51,"113 Cherry St, Halifax, NS  B1Y–B5A"
185568,Laptop holder,1,67.34,05/25/21 16:10,"309 13th St, St. Johns, NL A0C–A2B"
185569,Lightning Charging Cable,1,23.99,05/30/21 10:09,"440 10th St, Winnipeg, MB V3G–V4V"
185570,USB-C Charging Cable,1,17.99,05/27/21 14:22,"992 Drive St, Toronto, ON L7J–L0H"
185571,Samsung Galaxy Tab 8,1,679.99,05/04/21 17:28,"602 Rexdale St, Halifax, NS  B1Y–B5A"
185572,Lightning Charging Cable,1,23.99,05/21/21 13:18,"456 Lansdale St, Toronto, ON L7J–L0H"
185573,Delve Sound Pro Wireless Headphones,1,79.99,05/09/21 18:51,"696 Lansdale St, Toronto, ON L7J–L0H"
185574,Screen Protector,1,15.49,05/20/21 21:00,"965 Rexdale St, Moncton, NB T9S–T7S"
185575,USB-C Charging Cable,1,17.99,05/25/21 18:24,"316 Park St, Toronto, ON L7J–L0H"
185576,Laptop holder,1,67.34,05/16/21 09:37,"540 Johnson St, Toronto, ON L7J–L0H"
185577,Apple Airpods Pro 2 gen,1,249.99,05/03/21 12:38,"135 Rockwood St, Montreal, QC J0Y–H7M "
185578,Google ChromeBook A15,1,869.99,05/22/21 16:01,"889 10th St, Halifax, NS  B1Y–B5A"
185579,Screen Protector,1,15.49,05/31/21 19:44,"93 Dogwood St, Moncton, NB T9S–T7S"
185580,Asus ROG Phone 5,1,1459.0,05/05/21 11:18,"25 North St, Moncton, NB T9S–T7S"
185581,Asus ROG Phone 5,1,1459.0,05/06/21 20:18,"854 Robson St, Toronto, ON L7J–L0H"
185582,Screen Protector,1,15.49,05/12/21 20:26,"824 Center St, Toronto, ON L7J–L0H"
185583,Asus Zenfone 8,1,449.99,05/06/21 16:57,"378 7th St, Calgary, AB B3K–B5A"
185584,Laptop holder,1,67.34,05/23/21 18:51,"392 Adams St, Toronto, ON L7J–L0H"
185585,Laptop holder,1,67.34,05/15/21 17:52,"110 Rockwood St, Vancouver, BC R0K–R6W"
185586,Google ChromeBook A15,1,869.99,05/19/21 20:23,"202 Pine St, Montreal, QC J0Y–H7M "
185587,Laptop holder,1,67.34,05/14/21 20:20,"407 5th St, Vancouver, BC R0K–R6W"
185588,27in Curve Monitor,1,889.99,05/16/21 14:45,"217 Jackson St, Moncton, NB T9S–T7S"
185589,Apple iPhone 13 Pro Max,1,1549.0,05/03/21 12:22,"446 Park St, Moncton, NB T9S–T7S"
185590,Samsung Galaxy S22,1,829.99,05/14/21 09:38,"407 Cherry St, Toronto, ON L7J–L0H"
185591,Laptop holder,1,67.34,05/04/21 19:30,"391 Lakeview St, Calgary, AB B3K–B5A"
185592,ThinkPad IdeaPad 3 laptop,1,649.99,05/06/21 10:26,"472 7th St, Toronto, ON L7J–L0H"
185593,Xiaomi PowerBank 20000 mAh,1,249.99,05/13/21 20:17,"25 Pine St, Toronto, ON L7J–L0H"
185594,Laptop holder,1,67.34,05/24/21 00:22,"956 Dogwood St, Charlottetown, PE S2V–S0A"
185595,SQuality M8 Headphones,1,149.99,05/10/21 13:52,"698 Canlish St, Halifax, NS  B1Y–B5A"
185596,Google ChromeBook A15,1,869.99,05/14/21 19:56,"62 Madison St, Charlottetown, PE S2V–S0A"
185597,ThinkPad IdeaPad 3 laptop,1,649.99,05/06/21 23:28,"347 Adams St, Montreal, QC J0Y–H7M "
185598,Asus VivoBook X478 laptop,1,1120.0,05/25/21 22:03,"382 Johnson St, Toronto, ON L7J–L0H"
185599,Google ChromeBook A15,1,869.99,05/10/21 14:04,"337 Maple St, Montreal, QC J0Y–H7M "
185600,23in Curve Monitor,1,156.99,05/18/21 18:19,"173 Highland St, Montreal, QC J0Y–H7M "
185601,Lightning Charging Cable,1,23.99,05/13/21 15:55,"356 Madison St, St. Johns, NL A0C–A2B"
185602,Delve Sound Pro Wireless Headphones,1,79.99,05/12/21 12:45,"509 Georgia Avenue St, Halifax, NS  B1Y–B5A"
185603,USB-C Charging Cable,2,17.99,05/26/21 09:28,"504 Center St, Halifax, NS  B1Y–B5A"
185604,Xiaomi PowerBank 10000 mAh,1,159.0,05/15/21 12:33,"739 South St, Toronto, ON L7J–L0H"
185605,Laptop holder,1,67.34,05/10/21 19:44,"559 13th St, Toronto, ON L7J–L0H"
185606,Laptop holder,1,67.34,05/04/21 17:00,"97 2nd St, Montreal, QC J0Y–H7M "
185607,USB-C Charging Cable,1,17.99,05/01/21 21:18,"322 Lakeview St, Montreal, QC J0Y–H7M "
185608,Asus VivoBook X478 laptop,1,1120.0,05/28/21 19:57,"241 Jackson St, Vancouver, BC R0K–R6W"
185609,Laptop holder,1,67.34,05/04/21 12:36,"210 4th St, Calgary, AB B3K–B5A"
185610,Laptop holder,1,67.34,05/29/21 14:30,"660 Adams St, Winnipeg, MB V3G–V4V"
Order ID,Product name,Order quantity,Price,Order date,Purchase Address
185611,Samsung Galaxy S22,1,829.99,05/13/21 18:53,"582 13th St, Halifax, NS  B1Y–B5A"
185611,SQuality M8 Headphones,1,149.99,05/13/21 18:53,"582 13th St, Halifax, NS  B1Y–B5A"
185612,Samsung Galaxy Tab 8,1,679.99,05/03/21 19:23,"544 Lakeview St, Toronto, ON L7J–L0H"
185613,ThinkPad IdeaPad 3 laptop,1,649.99,05/02/21 23:04,"841 Rexdale St, St. Johns, NL A0C–A2B"
185614,Lightning Charging Cable,1,23.99,05/30/21 19:17,"77 Highland St, Halifax, NS  B1Y–B5A"
185615,Samsung Galaxy Tab 8,1,679.99,05/15/21 19:52,"876 Hickory St, Montreal, QC J0Y–H7M "
185616,LG Dishwasher XRA9,1,1599.0,05/06/21 15:47,"717 11th St, Halifax, NS  B1Y–B5A"
185617,Apple iPhone 13 Pro Max,1,1549,05/12/21 16:08,"717 Johnson St, Halifax, NS  B1Y–B5A"
185617,Apple Airpods Pro 2 gen,1,249.99,05/12/21 16:08,"717 Johnson St, Halifax, NS  B1Y–B5A"
185618,Apple iPhone 13 Pro Max,1,1549,05/31/21 02:00,"697 Drive St, Toronto, ON L7J–L0H"
185619,Samsung Galaxy Tab 8,1,679.99,05/18/21 19:37,"497 10th St, Calgary, AB B3K–B5A"
185620,ThinkPad IdeaPad 3 laptop,1,649.99,05/12/21 19:14,"888 6th St, St. Johns, NL A0C–A2B"
185620,Laptop holder,1,67.34,05/12/21 19:14,"888 6th St, St. Johns, NL A0C–A2B"
185621,Apple Airpods Pro 2 gen,1,249.99,05/09/21 21:07,"426 Pine St, Winnipeg, MB V3G–V4V"
185622,Laptop holder,2,67.34,05/31/21 21:03,"703 12th St, Toronto, ON L7J–L0H"
185623,ThinkPad IdeaPad 3 laptop,1,649.99,05/06/21 10:10,"929 1st St, Halifax, NS  B1Y–B5A"
185624,Lenovo Tab Pro A11,1,455,05/20/21 20:59,"284 Whitecap St, Toronto, ON L7J–L0H"
185625,Google Pixel Phone 7,1,799,05/08/21 16:02,"993 Rockwood St, Toronto, ON L7J–L0H"
