Order ID,Product name,Order quantity,Price,Order date,Purchase Address
255154,Google Pixel Phone 7,1,799.0,11/16/21 11:03,"570 10th St, Saskatoon, SK C1B-C1N"
255155,USB-C Charging Cable,2,17.99,11/03/21 21:14,"93 Dogwood St, Winnipeg, MB V3G–V4V"
255156,Screen Protector,1,15.49,11/20/21 18:49,"763 Ridge St, St. Johns, NL A0C–A2B"
255157,Apple iPhone 13 Pro Max,1,1549.0,11/04/21 22:33,"808 Pine St, Toronto, ON L7J–L0H"
255158,Google Pixel Phone 7,1,799.0,11/27/21 22:48,"266 Main St, Moncton, NB T9S–T7S"
255158,USB-C Charging Cable,1,17.99,11/27/21 22:48,"266 Main St, Moncton, NB T9S–T7S"
255159,Laptop holder,1,67.34,11/29/21 10:37,"674 Rexdale St, Toronto, ON L7J–L0H"
255160,Google Pixel Phone 7,1,799.0,11/08/21 14:11,"399 Albion St, Moncton, NB T9S–T7S"
255160,Delve Sound Pro Wireless Headphones,1,79.99,11/08/21 14:11,"399 Albion St, Moncton, NB T9S–T7S"
255161,Lightning Charging Cable,1,23.99,11/20/21 18:49,"731 Ridge St, Toronto, ON L7J–L0H"
255162,Asus ROG Phone 5,1,1459.0,11/20/21 00:38,"466 7th St, Toronto, ON L7J–L0H"
255162,USB-C Charging Cable,1,17.99,11/20/21 00:38,"466 7th St, Toronto, ON L7J–L0H"
255163,Lightning Charging Cable,1,23.99,11/02/21 17:00,"774 10th St, Calgary, AB B3K–B5A"
255164,Google ChromeBook A15,1,869.99,11/17/21 20:00,"415 4th St, Charlottetown, PE S2V–S0A"
255165,Xiaomi PowerBank 20000 mAh,1,249.99,11/28/21 08:27,"395 Dogwood St, Halifax, NS  B1Y–B5A"
255166,Samsung Galaxy Tab 8,1,679.99,11/27/21 14:56,"834 Maple St, Winnipeg, MB V3G–V4V"
255167,23in Curve Monitor,1,156.99,11/23/21 02:17,"922 2nd St, Montreal, QC J0Y–H7M "
255168,Delve Sound Pro Wireless Headphones,1,79.99,11/25/21 18:31,"584 Madison St, Toronto, ON L7J–L0H"
255169,Samsung Galaxy S22,1,829.99,11/06/21 09:35,"152 Pylon St, Winnipeg, MB V3G–V4V"
255170,Apple Airpods Pro 2 gen,1,249.99,11/06/21 00:22,"442 Adams St, Montreal, QC J0Y–H7M "
255171,USB-C Charging Cable,1,17.99,11/07/21 22:47,"385 Pine St, Winnipeg, MB V3G–V4V"
255172,Lightning Charging Cable,1,23.99,11/25/21 20:29,"634 Lansdale St, Halifax, NS  B1Y–B5A"
255173,USB-C Charging Cable,1,17.99,11/26/21 22:15,"644 Cherry St, Moncton, NB T9S–T7S"
255174,Laptop holder,1,67.34,11/27/21 13:49,"161 Cherry St, Halifax, NS  B1Y–B5A"
255175,Xiaomi PowerBank 10000 mAh,1,159.0,11/18/21 13:40,"157 Marine  St, Toronto, ON L7J–L0H"
255176,Screen Protector,1,15.49,11/14/21 21:52,"840 Cherry St, St. Johns, NL A0C–A2B"
255177,23in Curve Monitor,1,156.99,11/18/21 10:37,"59 1st St, Calgary, AB B3K–B5A"
255178,USB-C Charging Cable,2,17.99,11/22/21 13:22,"722 Milston St, Toronto, ON L7J–L0H"
255179,Lightning Charging Cable,1,23.99,11/16/21 20:57,"459 Pylon St, Toronto, ON L7J–L0H"
255180,Lightning Charging Cable,1,23.99,11/27/21 09:53,"833 Whitecap St, Toronto, ON L7J–L0H"
255181,Lightning Charging Cable,1,23.99,11/19/21 17:42,"541 1st St, Toronto, ON L7J–L0H"
255182,Asus ROG Phone 5,1,1459.0,11/01/21 10:37,"205 Marine  St, Calgary, AB B3K–B5A"
255183,Xiaomi PowerBank 10000 mAh,1,159.0,11/12/21 12:36,"896 Park St, Winnipeg, MB V3G–V4V"
255184,Delve Sound Pro Wireless Headphones,1,79.99,11/30/21 11:56,"497 5th St, Toronto, ON L7J–L0H"
255185,Laptop holder,1,67.34,11/27/21 12:40,"285 Meadow St, Moncton, NB T9S–T7S"
255186,USB-C Charging Cable,1,17.99,11/25/21 16:12,"176 Madison St, Halifax, NS  B1Y–B5A"
255187,Lightning Charging Cable,1,23.99,11/13/21 16:08,"619 10th St, Calgary, AB B3K–B5A"
255188,Lenovo Tab Pro A11,1,455.0,11/19/21 18:57,"98 8th St, Halifax, NS  B1Y–B5A"
255189,USB-C Charging Cable,1,17.99,11/09/21 18:59,"775 11th St, Toronto, ON L7J–L0H"
255190,SQuality M8 Headphones,1,149.99,11/05/21 16:11,"68 Cherry St, Montreal, QC J0Y–H7M "
255191,Apple Airpods Pro 2 gen,1,249.99,11/22/21 10:23,"835 12th St, Montreal, QC J0Y–H7M "
255192,Screen Protector,1,15.49,11/22/21 14:50,"762 Pine St, St. Johns, NL A0C–A2B"
255193,Lenovo Tab Pro A11,1,455.0,11/03/21 01:50,"766 Robson St, Halifax, NS  B1Y–B5A"
255194,Lightning Charging Cable,1,23.99,11/01/21 08:04,"117 12th St, Montreal, QC J0Y–H7M "
255195,Lightning Charging Cable,1,23.99,11/18/21 19:42,"225 Georgia Avenue St, Toronto, ON L7J–L0H"
255196,Laptop holder,1,67.34,11/19/21 14:47,"418 Canlish St, Toronto, ON L7J–L0H"
255197,Lightning Charging Cable,1,23.99,11/25/21 11:39,"261 Radnor St, Halifax, NS  B1Y–B5A"
255198,Asus VivoBook X478 laptop,1,1120.0,11/28/21 12:59,"810 Rexdale St, Moncton, NB T9S–T7S"
255199,Apple Airpods Pro 2 gen,1,249.99,11/26/21 14:24,"883 Pylon St, Charlottetown, PE S2V–S0A"
255200,23in Curve Monitor,1,156.99,11/15/21 13:15,"986 Whitecap St, Toronto, ON L7J–L0H"
255201,23in Curve Monitor,1,156.99,11/23/21 15:38,"677 Hickory St, Calgary, AB B3K–B5A"
255202,23in Curve Monitor,1,156.99,11/19/21 19:42,"110 Highland St, Toronto, ON L7J–L0H"
255203,Delve Sound Pro Wireless Headphones,1,79.99,11/10/21 14:38,"652 Maple St, Toronto, ON L7J–L0H"
255203,Samsung Galaxy S22,1,829.99,11/10/21 14:38,"652 Maple St, Toronto, ON L7J–L0H"
255204,27in Curve Monitor,1,889.99,11/25/21 20:21,"869 Georgia Avenue St, Montreal, QC J0Y–H7M "
255205,Screen Protector,1,15.49,11/06/21 19:13,"586 5th St, Montreal, QC J0Y–H7M "
255206,52in Wide Monitor,1,1899.99,11/11/21 21:16,"475 Park St, Halifax, NS  B1Y–B5A"
