Order ID,Product name,Order quantity,Price,Order date,Purchase Address
250808,Screen Protector,1,15.49,10/15/21 09:51,"562 Madison St, Calgary, AB B3K–B5A"
250809,Xiaomi PowerBank 10000 mAh,1,159.0,10/18/21 08:27,"554 Marine  St, Winnipeg, MB V3G–V4V"
250810,23in Curve Monitor,1,156.99,10/07/21 20:07,"467 Highland St, Montreal, QC J0Y–H7M "
250811,Google ChromeBook A15,1,869.99,10/13/21 19:50,"366 Canlish St, Moncton, NB T9S–T7S"
250812,USB-C Charging Cable,1,17.99,10/15/21 07:31,"537 North St, Charlottetown, PE S2V–S0A"
250812,LG Dishwasher XRA9,1,1599.0,10/15/21 07:31,"537 North St, Charlottetown, PE S2V–S0A"
250813,Google ChromeBook A15,1,869.99,10/20/21 00:03,"256 Ridge St, Halifax, NS  B1Y–B5A"
250814,Samsung Galaxy S22,1,829.99,10/19/21 12:13,"594 Albion St, St. Johns, NL A0C–A2B"
250814,USB-C Charging Cable,1,17.99,10/19/21 12:13,"594 Albion St, St. Johns, NL A0C–A2B"
250815,Lightning Charging Cable,1,23.99,10/29/21 09:23,"654 1st St, Montreal, QC J0Y–H7M "
250816,Apple Airpods Pro 2 gen,1,249.99,10/29/21 10:57,"396 Highland St, Toronto, ON L7J–L0H"
250817,Apple Airpods Pro 2 gen,1,249.99,10/10/21 16:35,"167 Railside St, Vancouver, BC R0K–R6W"
250818,Lightning Charging Cable,2,23.99,10/16/21 12:15,"356 Pine St, Halifax, NS  B1Y–B5A"
250819,Lenovo Tab Pro A11,1,455.0,10/15/21 13:01,"908 Ridge St, Toronto, ON L7J–L0H"
250820,Apple Airpods Pro 2 gen,1,249.99,10/30/21 15:51,"690 Albion St, Montreal, QC J0Y–H7M "
250821,Xiaomi PowerBank 10000 mAh,1,159.0,10/11/21 00:16,"925 Denman St, St. Johns, NL A0C–A2B"
250822,Google Pixel Phone 7,1,799.0,10/12/21 14:49,"993 11th St, Halifax, NS  B1Y–B5A"
250823,23in Curve Monitor,1,156.99,10/02/21 13:54,"398 Albion St, Montreal, QC J0Y–H7M "
250824,Google Pixel Phone 7,1,799.0,10/27/21 15:07,"787 Main St, Toronto, ON L7J–L0H"
