Order ID,Product name,Order quantity,Price,Order date,Purchase Address
239955,Laptop holder,1,67.34,09/09/21 18:53,"354 Georgia Avenue St, Halifax, NS  B1Y–B5A"
239956,Xiaomi PowerBank 10000 mAh,1,159.0,09/15/21 17:06,"336 Denman St, Charlottetown, PE S2V–S0A"
239957,Laptop holder,1,67.34,09/25/21 17:59,"521 9th St, Calgary, AB B3K–B5A"
239958,Lenovo Tab Pro A11,1,455.0,09/06/21 11:44,"81 1st St, Calgary, AB B3K–B5A"
239959,Screen Protector,1,15.49,09/21/21 10:41,"541 Park St, Charlottetown, PE S2V–S0A"
239960,USB-C Charging Cable,1,17.99,09/15/21 09:53,"583 Dogwood St, Montreal, QC J0Y–H7M "
239961,Google Pixel Phone 7,1,799.0,09/06/21 21:00,"370 5th St, Toronto, ON L7J–L0H"
239962,Xiaomi PowerBank 10000 mAh,1,159.0,09/19/21 21:07,"981 13th St, Toronto, ON L7J–L0H"
239963,Lightning Charging Cable,1,23.99,09/20/21 10:12,"463 Lansdale St, St. Johns, NL A0C–A2B"
239964,Google ChromeBook A15,1,869.99,09/13/21 18:15,"916 5th St, Montreal, QC J0Y–H7M "
239965,Laptop holder,1,67.34,09/22/21 11:22,"576 Rockwood St, Vancouver, BC R0K–R6W"
239966,Lightning Charging Cable,1,23.99,09/23/21 22:15,"610 9th St, Calgary, AB B3K–B5A"
239967,Laptop holder,1,67.34,09/05/21 15:17,"771 South St, Halifax, NS  B1Y–B5A"
239968,USB-C Charging Cable,1,17.99,09/14/21 15:47,"535 Georgia Avenue St, Montreal, QC J0Y–H7M "
239969,USB-C Charging Cable,1,17.99,09/08/21 21:00,"615 Johnson St, Calgary, AB B3K–B5A"
239970,Laptop holder,1,67.34,09/13/21 20:59,"51 Robson St, Toronto, ON L7J–L0H"
239971,Apple Airpods Pro 2 gen,1,249.99,09/02/21 16:02,"976 12th St, Calgary, AB B3K–B5A"
239972,Apple iPhone 13 Pro Max,1,1549.0,09/07/21 15:06,"982 Ridge St, Montreal, QC J0Y–H7M "
239972,Lightning Charging Cable,1,23.99,09/07/21 15:06,"982 Ridge St, Montreal, QC J0Y–H7M "
239972,Screen Protector,1,15.49,09/07/21 15:06,"982 Ridge St, Montreal, QC J0Y–H7M "
239973,Lightning Charging Cable,2,23.99,09/06/21 19:56,"485 2nd St, Calgary, AB B3K–B5A"
239974,Lightning Charging Cable,1,23.99,09/28/21 11:36,"743 Warden Avenue St, Calgary, AB B3K–B5A"
239975,Google Pixel Phone 7,1,799.0,09/08/21 20:34,"876 Johnson St, Halifax, NS  B1Y–B5A"
239976,Xiaomi PowerBank 10000 mAh,1,159.0,09/28/21 17:59,"923 Radnor St, Vancouver, BC R0K–R6W"
239977,Lightning Charging Cable,1,23.99,09/22/21 10:50,"126 Jefferson St, Toronto, ON L7J–L0H"
239978,Lightning Charging Cable,1,23.99,09/23/21 13:23,"449 Drive St, Calgary, AB B3K–B5A"
239979,Asus ROG Phone 5,1,1459.0,09/24/21 09:34,"881 Albion St, Moncton, NB T9S–T7S"
239979,SQuality M8 Headphones,1,149.99,09/24/21 09:34,"881 Albion St, Moncton, NB T9S–T7S"
239980,Lightning Charging Cable,1,23.99,09/30/21 11:39,"45 Highland St, St. Johns, NL A0C–A2B"
239981,Apple iPhone 13 Pro Max,1,1549.0,09/12/21 19:13,"476 11th St, Moncton, NB T9S–T7S"
239982,Apple Airpods Pro 2 gen,1,249.99,09/26/21 15:53,"441 10th St, St. Johns, NL A0C–A2B"
239983,USB-C Charging Cable,1,17.99,09/19/21 12:34,"498 Denman St, Calgary, AB B3K–B5A"
239984,Screen Protector,1,15.49,09/06/21 22:32,"418 Pine St, Vancouver, BC R0K–R6W"
239985,Delve Sound Pro Wireless Headphones,1,79.99,09/04/21 10:22,"118 Lansdale St, Calgary, AB B3K–B5A"
239986,Screen Protector,1,15.49,09/27/21 09:33,"272 13th St, Toronto, ON L7J–L0H"
239987,SQuality M8 Headphones,1,149.99,09/09/21 10:54,"717 Railside St, Vancouver, BC R0K–R6W"
239988,USB-C Charging Cable,1,17.99,09/10/21 19:24,"582 Pine St, Toronto, ON L7J–L0H"
239989,Apple iPhone 13 Pro Max,1,1549.0,09/13/21 06:09,"195 Ridge St, Montreal, QC J0Y–H7M "
239989,Screen Protector,1,15.49,09/13/21 06:09,"195 Ridge St, Montreal, QC J0Y–H7M "
239989,27in Curve Monitor,1,889.99,09/13/21 06:09,"195 Ridge St, Montreal, QC J0Y–H7M "
239990,Delve Sound Pro Wireless Headphones,1,79.99,09/26/21 10:08,"420 7th St, Moncton, NB T9S–T7S"
239991,LG Dishwasher XRA9,1,1599.0,09/08/21 12:13,"598 Jackson St, Calgary, AB B3K–B5A"
239992,USB-C Charging Cable,1,17.99,09/11/21 09:48,"792 Robson St, Montreal, QC J0Y–H7M "
239993,Delve Sound Pro Wireless Headphones,1,79.99,09/13/21 06:12,"61 Hickory St, Charlottetown, PE S2V–S0A"
239994,Xiaomi PowerBank 10000 mAh,1,159.0,09/24/21 18:27,"466 4th St, Calgary, AB B3K–B5A"
239995,USB-C Charging Cable,1,17.99,09/25/21 11:35,"75 North St, Winnipeg, MB V3G–V4V"
239996,Screen Protector,1,15.49,09/15/21 18:27,"383 South St, Halifax, NS  B1Y–B5A"
239997,Apple Airpods Pro 2 gen,1,249.99,09/06/21 09:54,"38 Whitecap St, St. Johns, NL A0C–A2B"
239998,Lightning Charging Cable,1,23.99,09/23/21 20:12,"487 Lansdale St, Toronto, ON L7J–L0H"
239999,USB-C Charging Cable,1,17.99,09/17/21 16:41,"615 Railside St, Winnipeg, MB V3G–V4V"
240000,Apple iPhone 13 Pro Max,1,1549.0,09/07/21 22:51,"597 Park St, Moncton, NB T9S–T7S"
240001,Lightning Charging Cable,1,23.99,09/20/21 15:21,"722 2nd St, Toronto, ON L7J–L0H"
240002,Laptop holder,1,67.34,09/02/21 12:49,"467 Johnson St, Toronto, ON L7J–L0H"
240003,Apple Airpods Pro 2 gen,1,249.99,09/12/21 05:42,"689 Georgia Avenue St, Charlottetown, PE S2V–S0A"
240004,Apple Airpods Pro 2 gen,1,249.99,09/12/21 11:16,"132 Radnor St, Calgary, AB B3K–B5A"
240005,Samsung Galaxy S22,1,829.99,09/08/21 16:39,"74 8th St, Vancouver, BC R0K–R6W"
240006,Google ChromeBook A15,1,869.99,09/18/21 21:51,"949 Albion St, Charlottetown, PE S2V–S0A"
240007,Asus ROG Phone 5,1,1459.0,09/17/21 13:21,"826 Center St, Halifax, NS  B1Y–B5A"
240007,Delve Sound Pro Wireless Headphones,1,79.99,09/17/21 13:21,"826 Center St, Halifax, NS  B1Y–B5A"
240008,Lightning Charging Cable,1,23.99,09/26/21 14:23,"817 14th St, Vancouver, BC R0K–R6W"
240009,Lenovo Tab Pro A11,1,455.0,09/03/21 16:53,"775 Denman St, Toronto, ON L7J–L0H"
240010,ThinkPad IdeaPad 3 laptop,1,649.99,09/22/21 15:26,"813 Warden Avenue St, Toronto, ON L7J–L0H"
240011,Asus ROG Phone 5,1,1459.0,09/13/21 20:57,"525 Rockwood St, Toronto, ON L7J–L0H"
240012,Lightning Charging Cable,1,23.99,09/03/21 23:33,"406 5th St, Montreal, QC J0Y–H7M "
240013,SQuality M8 Headphones,1,149.99,09/26/21 23:10,"873 Lansdale St, Charlottetown, PE S2V–S0A"
240014,Laptop holder,1,67.34,09/26/21 16:04,"802 Marine  St, Moncton, NB T9S–T7S"
240015,27in Curve Monitor,1,889.99,09/20/21 16:59,"229 Denman St, Calgary, AB B3K–B5A"
